"CPU","Function Name","Module","Inclusive","Exclusive","% Inclusive","% Exclusive","Comment"
"0","SoundOutputThread","main.xex","32450","12135","64,18 %","24,00 %",""
"0","GetVideoFrame","main.xex","4331","4331","8,57 %","8,57 %",""
"0","0x8007FF78","xboxkrnl.exe","2264","2264","4,48 %","4,48 %",""
"0","0x8009F200","xboxkrnl.exe","2088","2088","4,13 %","4,13 %",""
"0","0x8009FA68","xboxkrnl.exe","6542","1671","12,94 %","3,31 %",""
"0","0x8009B36C","xboxkrnl.exe","1516","1516","3,00 %","3,00 %",""
"0","0x8009F1D4","xboxkrnl.exe","1505","1505","2,98 %","2,98 %",""
"0","0x8009B5CC","xboxkrnl.exe","1431","1431","2,83 %","2,83 %",""
"0","0x8009F390","xboxkrnl.exe","8596","1379","17,00 %","2,73 %",""
"0","XAUDIO2::CX2SourceVoice::GetState","main.xex","9503","1350","18,80 %","2,67 %",""
"0","0x80083008","xboxkrnl.exe","5694","1054","11,26 %","2,08 %",""
"0","0x8009E9F0","xboxkrnl.exe","12005","936","23,75 %","1,85 %",""
"0","0x8007FF7C","xboxkrnl.exe","904","904","1,79 %","1,79 %",""
"0","0x91F5F208","xbdm.xex","941","902","1,86 %","1,78 %",""
"0","LEAPCORE::CVoiceSkin::GetPosition","main.xex","3893","707","7,70 %","1,40 %",""
"0","0x80075310","xboxkrnl.exe","8408","661","16,63 %","1,31 %",""
"0","QueueGet","main.xex","604","604","1,19 %","1,19 %",""
"0","0x8007FF80","xboxkrnl.exe","599","599","1,18 %","1,18 %",""
"0","0x80080058","xboxkrnl.exe","568","568","1,12 %","1,12 %",""
"0","0x80084AD0","xboxkrnl.exe","2445","564","4,84 %","1,12 %",""
"0","0x8009B5B0","xboxkrnl.exe","469","469","0,93 %","0,93 %",""
"0","0x80082920","xboxkrnl.exe","2877","437","5,69 %","0,86 %",""
"0","0x80085C24","xboxkrnl.exe","485","434","0,96 %","0,86 %","Recursive"
"0","XLFQueueRemove","main.xex","1016","411","2,01 %","0,81 %",""
"0","0x8007FF84","xboxkrnl.exe","365","365","0,72 %","0,72 %",""
"0","0x8009F7B8","xboxkrnl.exe","680","359","1,34 %","0,71 %",""
"0","WaitForSingleObjectEx","main.xex","12465","352","24,65 %","0,70 %",""
"0","0x8008591C","xboxkrnl.exe","346","346","0,68 %","0,68 %",""
"0","0x8007FF5C","xboxkrnl.exe","331","331","0,65 %","0,65 %",""
"0","0x80080000","xboxkrnl.exe","305","305","0,60 %","0,60 %",""
"0","0x80085924","xboxkrnl.exe","302","302","0,60 %","0,60 %",""
"0","video_ffmepg","main.xex","15949","295","31,55 %","0,58 %",""
"0","0x80083E44","xboxkrnl.exe","276","276","0,55 %","0,55 %",""
"0","0x8009B370","xboxkrnl.exe","272","272","0,54 %","0,54 %",""
